ACCT 1110,Principles of Accounting I ,3
ACCT 1235,Principles of Accounting I & II,3
ACCT 3880,Data Analytics for Managers,3
BUSN 1210,Management Essentials,3
BUSN 2429,Business Statistics,3
BUSN 3380,Operations Management,3
BUSN 3388,Supply Chain Planning,3
BUSN 3390,Continuous Improvement,3
BUSN 3431,Business Statistics II,3
BUSN 3600,Essentials of Project Management,3
CMNS 1115,Practical Writing,3
CMPT 1110,C++ Programming,3
COBA 3200,Project Management,3
CSIS 1175,Introduction to Programming I,3
CSIS 1275,Introduction to Programming II,3
CSIS 1280,Multimedia Web Development,3
CSIS 2175,Adv Integrated Software Dev,3
CSIS 2200,Systems Analysis and Design,3
CSIS 2260,Operating Systems,3
CSIS 2270,Virtualization and Computer Networking,3
CSIS 2300,Database I,3
CSIS 3155,Computer Network Security,3
CSIS 3175,Mobile Application Development I,3
CSIS 3190,Business Support Systems with Excel,3
CSIS 3270,Advanced Networking,3
CSIS 3275,Software Engineering,3
CSIS 3280,Web Based Scripting,3
CSIS 3290,Fundamentals of Machine Learning in Data Science ,3
CSIS 3300,Database II,3
CSIS 3360,Fundamentals of Data Analytics,3
CSIS 3375,UX Design in Mobile Applications,3
CSIS 3380,Advanced Web Programming with JavaScript and AJAX,3
CSIS 3475,Data Structures and Algorithms,3
CSIS 3540,Client Server Systems,3
CSIS 3860,Data Visualization,3
CSIS 4050,Advanced OO Prog for Bus App,3
CSIS 4150,Digital Forensics,3
CSIS 4175,Mobile Application Development II,3
CSIS 4260,Special Topics in Data Analytics,3
CSIS 4270,Cloud Infrastructure,3
CSIS 4280,Special Topics in Web/Mobile Application Development,3
CSIS 4495,Applied Research Project,3
ECON 1101,The Canadian Economy,3
ECON 1150,Principles of Microeconomics,3
ECON 1250,Principles of Macroeconomics,3
FINC 1231,Commercial and Financial Mathematics,3
MARK 1120,Introductory Marketing,3
MARK 3235,E-Marketing,3
MARK 4360,Customer Relationship Management,3
MATH 1130,Discrete Mathematics,3
MATH 1160,Introduction to Statistics,3
